omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
1.4356162303604079E-05	1.2509000000000000E+02	1.6989407726708990E+02	5.2184257939078043E+02	5.2498557729878735E+02	1.2629052704260243E+03	5.9870155969108527E+00	1.2319207124886665E+01	2.6964124978503271E+01	-1.2137891727848444E+00	8.2112763526745165E-04	3.4101701966013814E-01
6.7334302548658099E-05	1.2509000000000000E+02	1.4480070059561669E+02	1.3401317968220133E+02	1.3693612464560948E+02	4.0193055162761851E+02	5.3788007088372485E+00	7.4214766119241133E+00	6.3093081830578424E+00	-3.2981100073415615E-01	4.6810162831221686E-03	6.0723424287157074E-04
1.7212925954416312E-05	1.2509000000000000E+02	1.5450497290945378E+02	5.5008832197640481E+02	5.5481341579221817E+02	1.3715820463940418E+03	8.1276400987187589E+00	3.0057462350026456E+00	3.3508384404940713E+01	-7.2166965739112687E-01	3.0253897315025585E-03	2.6975687108625160E-03
1.1767447187533212E-05	1.2509000000000000E+02	1.2829689727235908E+02	8.7052891413705845E+02	8.7347771340677411E+02	1.7357286167264583E+03	4.0174867141607615E+00	9.2762928781920539E+00	1.9861081553092728E+01	-8.0722567539967205E-01	2.5990606925755176E-03	2.6733272479669773E-03
2.4255297704590771E-05	1.2509000000000000E+02	1.3407595117450970E+02	5.0261954569845437E+02	5.1261259584809306E+02	1.0428176694981837E+03	5.3599556135292881E+00	3.7252476999653727E+00	4.0025593287789071E+01	-1.2944900728988376E+00	5.8289495918872490E-04	4.9578405295947420E-03
2.1039923675656157E-05	1.2509000000000000E+02	1.4270471208539544E+02	6.6429538671592968E+02	6.6497149767119970E+02	1.3207116783925853E+03	2.9771826209859844E+00	1.7898584830061806E+00	2.7992226171769307E+01	-3.6140076513792274E-01	4.5804759214208880E-03	7.1322476934621319E-04
2.4614587928703184E-05	1.2509000000000000E+02	1.5890789344540701E+02	7.1818847896912530E+02	7.2525431203900575E+02	9.4297313834213332E+02	1.3399789241189039E+01	5.4334011452428077E-01	7.4586490691446926E+01	-3.2387856363300482E-01	4.6990309060422428E-03	6.4397356422087862E-04
8.0710157967124911E-04	1.2509000000000000E+02	1.7225829722615345E+02	7.7670350078339851E+01	8.7424909014918327E+01	2.7853813135462724E+02	9.7067205460773405E+00	2.3969339221235990E+00	4.0908844809936753E+01	-1.5486121418327892E+00	2.1372549647596153E-04	4.7116223758592735E-01
2.8432333218588167E-05	1.2509000000000000E+02	1.5843886577601958E+02	4.0855411633781819E+02	4.1321545119081418E+02	4.4697370361395821E+02	9.3027561763314335E+00	1.2089451861004090E+01	8.2261355747124810E+01	-2.1062282010395217E-01	4.9865099961030942E-03	2.7709472802454487E-04
1.2653744002678443E-05	1.2509000000000000E+02	1.5203699239309273E+02	8.4220218811752375E+02	8.4959204215071725E+02	1.5122097911137203E+03	1.1300362498173659E-01	2.2470730399932121E-01	5.4826539429755208E+01	-1.5556633250547280E+00	2.1241186919888956E-04	6.0798696753043887E-03
5.2737410264125825E-06	1.2509000000000000E+02	1.6265696539352041E+02	2.7036383073793900E+02	2.7963430505694555E+02	9.0155565904060177E+02	3.9712219260033321E+00	9.3807727368924638E+00	7.2544714445036234E+01	-5.0691686740399988E-01	4.0278315098337993E-03	4.6309311991172039E-02
1.9257588241055501E-05	1.2509000000000000E+02	1.5977285861177504E+02	6.7181273429738951E+02	6.7624341649294058E+02	1.0136790811380740E+03	1.2069576455638547E+01	1.1890193353681914E+01	2.5576484469965326E+01	-1.2254068094428816E+00	7.8364940434474972E-04	5.6603738597833233E-03
1.5362978743694757E-05	1.2509000000000000E+02	1.3711750651260257E+02	6.9070849699932546E+02	6.9635485192125418E+02	1.4988093688380018E+03	8.0560284744743402E+00	5.3814866952977543E+00	9.1752382572159348E+01	-7.5092379920289276E-01	2.8800335253001789E-03	2.5508941263470875E-03
2.8985802864277256E-05	1.2509000000000000E+02	1.3796368513311896E+02	6.3185830613684755E+02	6.4037511101475684E+02	8.6442058585324344E+02	9.2758365105725069E+00	5.5592423427194548E+00	9.4568923274785703E+01	-1.4023636135378870E+00	3.5159750651495735E-04	5.3584961076084342E-03
