omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
1.6354412969850397E-05	1.2509000000000000E+02	1.6384163185352071E+02	7.3748443270450673E+02	7.3949251589807341E+02	1.6274250646948001E+03	1.3090572990379563E+01	3.6631071755490767E+00	8.5216414477776922E+01	-3.0245734750339537E-02	5.2002086879511036E-03	2.1532597730702807E-04
2.4569126346792389E-04	1.2509000000000000E+02	1.5563069973553564E+02	2.4696231772981693E+02	2.4818704248321572E+02	3.2306012929094032E+02	1.7002844579519167E+00	1.3378968453211231E+00	4.7659173745037599E+01	-7.7648998670912750E-01	2.7525025803187423E-03	3.0576317909950467E-03
4.8394708671547153E-04	1.2509000000000000E+02	1.5925635598250031E+02	1.2115572787409450E+02	1.3111957071401159E+02	5.3582583017918546E+02	2.0979082886119875E+00	4.1251846676809638E+00	4.5148952534491642E+01	-6.7724711707332974E-01	3.2438735286873196E-03	2.5023683595774959E-03
1.7078359774190831E-05	1.2509000000000000E+02	1.2765923909884377E+02	6.2806806023142667E+02	6.3713369319081937E+02	1.5094226276778720E+03	1.2655277007890529E+01	1.0582184163519265E+01	6.9039549929573925E+00	-1.2921312155104325E-01	5.1218665922645361E-03	8.4632371973277632E-05
5.8043398069908267E-05	1.2509000000000000E+02	1.3612846405681151E+02	3.4925117571803332E+02	3.5893631792577747E+02	7.0967975592225775E+02	6.6705011014689228E+00	6.5076297676226265E+00	9.1614732164244501E+01	-5.1771062956111646E-01	3.9817747942376153E-03	1.3321957146580866E-03
5.2990478120804618E-05	1.2509000000000000E+02	1.6060711413800581E+02	3.7046864429510600E+02	3.7307977107496919E+02	1.1382136601899813E+03	9.1102524678270580E+00	9.9364308466373146E+00	7.8079038963224292E+01	-3.1358102402006582E-01	4.7296337431528522E-03	9.6775409816572799E-03
3.4120582384314167E-05	1.2509000000000000E+02	1.4233500237835804E+02	6.5961831659526479E+02	6.6636088756209278E+02	8.7715330949386259E+02	6.0651357550011653E+00	1.0366153059092420E+01	9.2212072452163369E+01	-4.7913333642690570E-01	4.1435029707727238E-03	1.2092693715954974E-03
1.9864308829094145E-05	1.2509000000000000E+02	1.2837989764828697E+02	8.4257145034734697E+02	8.4304471640989402E+02	1.3241789645395145E+03	4.8365189952480225E+00	1.3448634990560187E+01	6.2525496170635094E+01	-5.5472608428918968E-01	3.8194570534270554E-03	1.4221944729963408E-03
6.0758318829277625E-06	1.2509000000000000E+02	1.5116333987302767E+02	1.9455397024031447E+02	2.0430013274508534E+02	3.4310460332459985E+02	1.2185048161486652E+01	1.0535692955011358E+01	8.7003050341272285E+01	-1.3798405348250511E+00	3.9114977192932063E-04	5.8282299051534998E-03
2.5914834548045026E-05	1.2509000000000000E+02	1.4622801623747591E+02	5.3085884008596599E+02	5.3535707329649347E+02	1.2948161451820361E+03	3.8461794539104117E+00	5.1672166380412952E+00	5.0569185613453939E+01	-1.2438856928168653E+00	7.2618533004367193E-04	5.2440222132365969E-03
2.6875297515557661E-05	1.2509000000000000E+02	1.3721894949695513E+02	5.3871661615032554E+02	5.4740163275385362E+02	1.0615282139328906E+03	7.0508934574904352E+00	6.8725927023089453E+00	6.0575942093308988E+01	-1.0471207921287624E+00	1.4599771075562496E-03	4.1121654835295602E-03
4.0472001119863942E-05	1.2509000000000000E+02	1.3827501043747412E+02	4.1131216313751048E+02	4.1708937153550301E+02	1.0187439064815378E+03	8.0358787908851532E+00	6.7811315802303751E+00	8.0649039208725583E+01	-8.1903501576874171E-01	2.5401827009455102E-03	2.9487388391867299E-03
2.1592025612525023E-05	1.2509000000000000E+02	1.5698196036285347E+02	7.4399597788881329E+02	7.4652969330387646E+02	1.1949472172395081E+03	7.3311859443928977E+00	1.6876286223473160E+00	7.1917470599951898E+01	-1.4320710061381503E+00	3.0675213739742480E-04	6.1605746984101052E-03
1.2975808630082651E-04	1.2509000000000000E+02	1.5747448222744487E+02	1.9309822434703736E+02	2.0097937490836688E+02	1.0168447264781430E+03	7.3931890167729870E+00	4.0732967652256118E+00	2.5865609093040977E+01	-9.5388795862074938E-02	5.1594769867175710E-03	5.7154991960750562E-05
6.2908386144392620E-07	1.2509000000000000E+02	1.6643126870955399E+02	1.5544197573579942E+02	1.5888620411459647E+02	4.4642796292734704E+02	8.5128012137547149E+00	1.3262551623379137E+01	8.1190387824638933E+01	-3.7146024628608898E-01	4.5468712449224132E-03	4.0421632953970617E-02
4.0597049864827570E-05	1.2509000000000000E+02	1.4217201086944064E+02	3.9166224582198180E+02	3.9705763322629855E+02	1.2093020784479111E+03	1.2095877632869351E+01	4.8044078487457744E+00	1.0068039849758166E+02	-2.1266291788316360E-01	4.9823254672775458E-03	2.5317807029369145E-04
8.4279258513456366E-05	1.2509000000000000E+02	1.3044678868431450E+02	2.7515797341482619E+02	2.8511541883233718E+02	8.3644212330060179E+02	5.1900859930972034E+00	9.9688694685086929E+00	5.7292266145484646E+01	-7.9374284744806234E-01	2.6663545875612203E-03	2.6484330781277078E-03
