omega_c	MA1	MS1	svev	alpha	WS1	WH
0	705.9961487440969	741.50844921693283	982.05559489445216	0.072925610063423463	0	0
2.9730965524231532E-04	4.5320847039260360E+02	7.3329347524945319E+02	8.4348927322332247E+02	5.1577734706646194E-01	5.7432856819101858E+01	4.5813241906535558E-03
9.4940607026533202E-05	8.8561059992556022E+02	2.1840676826816369E+02	3.5230004101167431E+01	9.2418240167403032E-01	1.4169221759285024E+00	2.1975493829535981E-03
1.9129660101318302E-03	4.8750110610271855E+02	7.1893625704987733E+02	7.3414057679387770E+02	2.0689139853565908E-01	1.0463653077965699E+01	5.7985455643738745E-03
3.0335319675649619E+00	9.4740624814173498E+02	1.9107450309259559E+02	8.2052934677783833E+02	5.8154373064227083E-01	3.2940835148175651E-01	4.2272304241332583E-03
3.8579539278132242E-04	4.4900420163711732E+02	4.6036801212950053E+02	1.5460864619519964E+02	-1.1482128079211054E+00	4.7937608045096930E+01	1.0182645006710004E-03
5.2307080627451180E-02	8.1488642481383238E+02	8.6854701103574928E+02	9.5095628683872349E+02	1.4709199632352836E+00	3.4083118709250499E+02	6.0189908181364038E-05
0	60	500	500	0.4510268117962624	2.7071038448236034E-06	6.0512983923789818E-03
4.3672423131245804E-03	4.3446491802319184E+02	1.2510388422529394E+02	1.0034425651065273E+02	2.1146522581967142E-02	2.7071038448236034E-06	6.0512983923789818E-03
9.0475180728044668E-02	6.0852411196498394E+02	2.0671727515604221E+02	3.3146690266508000E+02	4.7721553737852695E-01	3.5985662253971917E-01	4.7768313268951980E-03
7.3812707643051270E-02	8.9001075040549540E+02	3.6530934777823711E+02	3.1676337193267580E+02	-1.3553089674435375E+00	1.7916254957953271E+01	2.7679218618210688E-04
5.5988300011174264E-03	5.3371611646549593E+02	5.8697834268071608E+02	8.6290538404691290E+02	1.1366329379325919E+00	8.7656366790374690E+01	1.0712424875035150E-03
3.1483796081551774E-01	3.5591459931149831E+02	2.7320609596707209E+02	4.2822942021080735E+02	-1.4967342529230414E+00	5.7909048670023440E+00	3.3146701622477203E-05
