Omega	Omega_err	MA1	svev	alpha
0.0056061	2.37991e-05	416.29	617.082	0.370505
0.00247041	9.44214e-06	721.514	282.903	-1.40227
1.6238	0.0140684	410.291	518.867	-1.06194
0.00278952	1.0626e-05	447.154	662.322	0.310327
5.99899	0.0561583	624.123	735.099	-0.707477
0.0564634	0.000308608	865.722	698.512	-0.0872683
1.7891	0.0153003	205.684	838.309	1.29083
0.759695	0.00609702	359.021	423.318	1.47433
5.91391e-05	1.42693e-07	478.771	587.641	0.786484
0.0615876	0.000335286	643.449	804.184	-0.87167
0.596551	0.00460964	391.694	385.128	-1.38321
0.0180571	8.82674e-05	603.675	658.833	1.00827
3.1271e-06	6.05233e-09	501.265	96.6506	-0.77563
0.00821993	3.61504e-05	526.757	725.606	-0.289769
0.000161322	4.68389e-07	590.073	319.328	0.636839
1.012	0.0072674	752.745	672.333	1.3931
0.00127804	7.07262e-06	165.783	694.089	-0.762655
0.000566251	1.86723e-06	788.129	480.298	0.904891
0.0241669	0.000113118	869.709	847.9	-0.943095
1.81213e-05	4.4736e-08	859.608	21.726	0.081626
0.0472456	0.000239548	869.404	779.313	-0.311109
0.347454	0.00220333	111.11	808.926	-0.187933
4.55865e-05	1.14771e-07	831.891	143.748	0.527728
0.00318742	2.21796e-05	116.717	611.807	0.469968
0.0604075	0.000317924	772.674	906.928	-0.933753
0.00132953	6.82998e-06	275.813	990.822	0.386773
0.000190709	8.3053e-07	360.319	823.094	-1.06283
0.0223897	0.000104621	914.141	687.986	-0.803103
0.0407591	0.000194351	924.069	645.69	1.16429
0.0261392	0.000131082	573.306	311.474	-1.448
0.0493873	0.000253685	291.715	707.362	-0.156393
0.0327852	0.00017585	611.319	100.714	-0.494165
0.00303795	1.17127e-05	403.935	545.934	-0.230409
3.77644e-06	9.14707e-09	387.367	50.7222	0.452908
0.0124572	5.59869e-05	694.718	806.051	0.690057
0.0174913	7.64584e-05	914.266	964.052	0.554522
0.034018	0.000240103	107.079	547.569	1.35555
1.12804e-05	1.15832e-08	330.42	970.602	0.455127
0.00173313	6.12151e-06	946.516	95.995	0.251799
6.46427e-06	8.88291e-09	231.397	922.93	0.376417
0.00731236	0.00021168	54.1622	47.4291	0.297868
1.02207	0.00695164	922.043	239.74	-0.378634
0.00899817	4.19654e-05	534.529	100.03	0.582104
0.902365	0.00591801	655.247	362.438	-0.004205
