Omega	MA1	MS1	alpha	svev
0.000568044	788.129	827.862	0.904891	480.298
0.0241924	869.709	505.615	-0.943095	847.9
1.80027e-05	859.608	154.844	0.081626	21.726
0.0472433	869.404	503.98	-0.311109	779.313
0.345554	111.11	164.643	-0.187933	808.926
4.54507e-05	831.891	783.407	0.527728	143.748
0.00316882	116.717	324.68	0.469968	611.807
0.06056	772.674	397.952	-0.933753	906.928
0.00133385	275.813	804.704	0.386773	990.822
0.000197306	360.319	809.297	-1.06283	823.094
0.022401	914.141	470.089	-0.803103	687.986
0.0407415	924.069	458.663	1.16429	645.69
0.0263295	573.306	458.309	-1.448	311.474
0.0496558	291.715	336.639	-0.156393	707.362
0.0327045	611.319	55.9838	-0.494165	100.714
0.00307711	403.935	532.663	-0.230409	545.934
3.81385e-06	387.367	835.42	0.452908	50.7222
0.0125035	694.718	494.177	0.690057	806.051
0.0174881	914.266	598.416	0.554522	964.052
0.0339131	107.079	822.111	1.35555	547.569
1.22223e-05	330.42	659.878	0.455127	970.602
0.00172015	946.516	225.414	0.251799	95.995
7.30089e-06	231.397	471.499	0.376417	922.93
0.0156825	54.1622	136.623	0.297868	47.4291
1.01509	922.043	90.3521	-0.378634	239.74
0.0089312	534.529	106.831	0.582104	100.03
0.904475	655.247	868.024	-0.004205	362.438
0.00927427	740.135	410.646	0.741155	430.715
0.00706458	120.523	478.291	-1.32451	381.408
0.0177064	653.704	573.257	-1.33678	658.886
0.0224284	94.7562	716.703	1.16973	694.612
0.0120624	803.326	685.516	-1.40004	467.682
0.00319681	725.868	529.664	0.96122	434.397
0.000199349	586.494	817.749	-0.661839	491.764
0.365104	735.773	246.323	-0.726961	788.204
2.11348e-09	606.969	396.776	0.0904347	5.51356
0.129688	825.066	289.152	0.619566	607.573
0.198937	812.409	469.408	0.100429	771.931
0.00101253	236.111	834.307	1.24674	404.898
0.363715	569.823	396.531	-1.43313	951.253
0.128297	876.195	356.936	-0.538641	849.935
0.00684575	224.685	415.28	0.0442945	618.258
0.0145951	611.604	758.497	1.43277	782.918
0.534304	205.273	132.828	-0.807833	485.366
0.00353213	371.98	690.598	-1.46489	940.133
0.00099053	210.006	922.982	-0.927157	566.112
0.0310904	807.289	97.6379	-0.362621	102.625
0.0337203	444.169	300.361	-0.254427	428.965
0.0418651	607.297	378.891	-0.452514	747.811
0.00596811	744.171	637.484	0.984303	870.19
0.141953	445.981	278.806	-0.328909	769.609
0.000587953	361.635	570.413	0.353441	638.526
0.0391049	311.011	240.702	0.640936	646.568
9.54766	213.685	59.5582	-0.101172	908.984
0.201141	107.196	302.687	-1.49758	852.518
0.251763	553.048	220.889	0.00476599	442.875
0.00150343	549.779	704.784	-1.01109	857.62
6.49774e-05	392.268	734.767	-0.544716	991.482
0.0379728	63.5734	374.072	1.00618	722.195
4.73155	894.485	121.094	-0.435607	433.347
1.8286e-06	311.797	926.826	-0.853481	66.293
0.118116	936.384	543.645	-0.0855873	696.428
0.00537814	796.332	894.541	-1.41867	496.565
0.000652191	165.43	416.676	-0.351232	550.39
0.00112754	171.459	552.05	0.576688	566.793
0.00271368	336.817	708.884	0.0479156	11.1668
0.00113289	132.957	741.477	-0.522235	336.193
0.0574656	812.572	734.421	-1.47501	695.414
0.000133242	711.247	909.449	-1.13667	259.561
2.42253	503.094	146.304	0.689865	611.333
0.0157048	90.8449	336.158	-0.525602	768.246
0.117489	702.834	308.529	-1.0253	721.174
0.00344333	810.58	830.643	1.132	857.347
0.000514779	589.527	689.995	-1.05628	376.202
0.099318	481.472	223.386	0.602081	498.044
0.00133006	907.807	932.863	-0.54439	722.417
6.25624	892.312	118.261	0.590111	465.437
0.0810221	214.565	207.898	-0.190568	408.022
0.00502638	494.057	493.638	-0.85378	772.264
0.0505213	752.167	283.168	-0.883519	402.47
4.1858e-05	163.811	459.203	0.393562	80.0134
0.00236824	199.198	307.932	0.709782	789.26
0.25735	481.318	175.747	0.456125	418.162
0.00896217	158.609	443.126	-0.212494	971.933
0.000838337	511.387	524.866	-1.39305	121.079
0.0549105	682.764	291.16	0.61419	496.424
0.113213	734.798	343.047	-0.953575	923.812
0.017789	576.215	494.895	0.129034	415.82
3.80724e-05	904.098	909.857	0.663315	167.181
0.000572785	267.789	819.185	-1.21023	437.633
0.00454952	944.931	708.68	0.695012	760.202
0.000274901	201.806	296.411	-1.20937	154.437
0.000148191	771.277	650.79	0.569651	172.453
0.0783231	891.95	320.508	0.0141055	377.451
3.56347	613.555	154.573	0.616967	701.257
0.00192472	599.468	413.426	-0.908374	238.222
0.0767576	373.283	373.159	0.186978	922.073
0.000268311	242.344	440.826	0.3179	674.615
5.89582e-05	199.506	478.409	-0.917083	323.098
0.00273286	724.82	495.277	-0.519019	323.805
1.53758e-05	196.067	403.65	0.160909	17.1004
2.11515e-05	674.158	731	-1.26356	56.6533
11.1953	835.573	78.4785	-0.566488	794.389
0.163033	441.905	457.279	-0.0522179	531.006
2.03907e-06	780.438	695.467	0.92568	43.8525
0.0205357	186.293	696.437	-1.49127	396.448
2.53874e-05	224.847	550.872	-0.57317	234.163
0.0765307	96.1497	651.616	1.3951	652.693
0.00459605	105.266	545.903	-0.899833	495.799
0.132628	326.903	144.999	0.800842	312.06
1.29257e-05	173.477	594.621	-1.00365	75.5226
0.0419113	101.9	686.122	0.228226	664.243
8.02616e-05	431.589	736.829	1.16008	367.932
5.21612	483.267	165.176	0.236951	894.683
0.0106776	666.049	540.791	0.55192	893.085
0.422747	242.407	153.545	0.740712	620.137
0.200804	649.448	284.649	-0.706254	949.401
3.66001e-05	379.648	144.235	1.48824	31.0781
0.0341943	688.856	786.342	0.0109089	155.097
2.94528e-05	522.464	449.077	0.840394	77.0429
0.000981063	235.906	528.213	1.41041	637.133
0.00957646	643.389	425.614	0.590524	524.847
0.000381004	916.406	935.067	-0.490655	364.287
0.000499077	138.612	76.0512	-1.01644	80.5159
0.000236712	310.7	483.583	0.830985	452.199
0.000342565	577.818	853.236	0.489908	738.495
0.00459714	689.578	261.981	-0.63993	160.255
6.05345e-06	661.057	680.522	-0.83063	64.7459
6.89752e-05	258.734	688.029	1.21113	185.365
0.00654423	163.643	893.422	1.22914	573.911
0.0356266	878.489	333.197	-1.29137	235.833
0.000756237	359.248	695.347	-1.5111	266.136
0.000177276	228.93	519.571	0.418699	783.728
0.000612109	422.807	453.77	0.896219	289.929
0.00312844	665.751	180.85	-1.1785	82.4975
0.0036537	811.372	540.521	-0.430021	361.114
0.000292117	278.55	789.907	-1.32608	249.386
1.31419	733.329	233.79	-0.376318	969.175
0.000242369	516.987	711.102	0.564852	469.688
0.00634236	456.449	484.079	1.13878	699.1
0.0430299	53.65	756.48	0.472562	496.264
3.1124e-06	260.25	515.548	-0.256715	436.261
0.00127361	646.398	863.268	1.31249	543.614
0.0657452	453.789	526.58	0.0271202	281.618
0.000372352	366.488	550.105	0.636483	586.942
0.000211242	733.895	546.773	-1.22237	83.7303
0.000559499	307.875	490.554	-0.695051	790.915
0.000167739	924.634	623.302	0.748134	142.101
0.00137045	429.782	791.83	1.49499	389.171
5.65721e-05	357.378	893.582	0.488805	394.762
1.10312	806.849	818.842	-1.55762	573.797
1.2063	395.422	139.42	-0.660996	513.315
48.2328	639.525	117.509	0.739706	992.205
0.011794	614.282	623.363	-0.267313	846.517
0.0124294	163.917	801.421	1.29908	693.976
3.97691	474.722	86.186	-1.2617	651.996
0.000326085	828.016	471.575	1.23745	75.1864
0.718808	415.157	160.57	-0.923649	549.935
0.00036566	929.412	700.715	-0.795849	210.978
0.00929191	790.135	525.622	-0.436912	536.736
4.54242e-05	593.132	898.471	-0.0709984	97.2859
0.0046601	571.834	577.384	-0.846785	892.42
3.32584e-06	428.804	766.054	0.648393	144.825
0.00439095	802.24	841.136	1.23404	804.975
0.0109605	362.711	352.567	0.629213	786.914
3.78836	463.137	154.82	0.795409	906.372
0.105739	805.535	532.519	-0.200545	999.86
0.0159826	108.141	854.126	0.508485	797.294
0.114192	802.597	78.4116	0.528042	140.117
27.6818	605.795	88.2588	-0.263784	898.642
0.000585781	804.313	884.484	-1.45002	123.302
0.0052397	775.62	696.157	0.546474	931.32
0.00238301	98.7234	302.46	-1.08793	374.859
0.000296438	407.28	866.073	0.0413991	906.981
0.000365837	448.592	721.79	-0.82793	949.393
150.397	625.917	83.8165	0.0235046	898.419
2.71173	112.228	116.693	-0.075	176.387
0.35155	154.952	63.1277	0.586512	892.269
0.0677859	897.612	640.749	1.42861	725.411
0.746624	386.905	52.6284	0.779226	629.059
0.00106975	305.089	777.762	-0.224698	901.835
0.00119917	693.836	851.897	0.566775	941.712
0.00178968	623.687	783.67	-1.07363	916.955
0.00142969	817.487	807.168	-0.699515	666.069
0.0268453	873.861	631.063	1.32546	753.711
0.626589	644.191	350.361	-1.47022	608.989
0.0397149	941.11	603.898	0.320452	986.768
0.0306815	606.526	276.597	-0.425808	350.688
0.0357748	104.36	711.133	1.26227	793.145
0.00441544	613.029	499.168	0.866366	582.622
0.000185557	332.839	589.785	-0.744499	934.092
0.022775	446.953	314.438	-1.04606	540.816
3.07061e-05	895.502	677.779	-0.450942	89.845
0.0813192	78.1398	387.707	0.313087	389.087
0.0458962	941.605	546.53	-1.5036	202.46
0.229694	773.127	210.909	0.34254	386.464
7.03967	872.041	133.729	1.14315	511.317
0.0359921	582.897	566.306	0.122419	640.007
0.00177184	206.091	358.108	1.27666	802.184
0.000545929	622.546	196.102	0.359693	74.3284
0.353247	823.881	373.487	0.237531	970.983
0.00416113	711.194	389.236	1.22878	176.092
0.205491	885.766	318.535	0.707902	912.61
2.32352e-05	479.443	810.675	0.729174	335.032
0.391768	894.404	262.062	-0.343884	596.382
0.0904036	778.368	708.342	0.0952984	929.576
0.180609	116.45	509.099	1.51655	437.271
0.00319894	655.201	561.363	0.65972	597.629
0.00739626	884.85	464.784	0.101514	286.318
0.0258525	804.02	352.373	0.50979	424.024
0.000364789	620.908	699.773	0.83701	388.216
2.8878	560.448	135.058	-1.2205	499.033
0.631228	347.121	438.391	0.0169343	502.538
1.35542e-06	196.733	475.189	-1.13276	36.6891
0.000101998	934.288	697.452	-0.826649	123.043
0.0714038	308.815	259.222	0.486907	946.918
0.000284711	674.006	599.673	-0.89478	188.113
2.16696	902.045	288.552	0.0978281	877.577
0.00127531	938.325	766.49	0.254654	298.271
1.85961	851.548	225.14	0.170247	692.868
0.000994742	613.53	135.776	-0.877311	60.5221
0.00152566	560.965	484.106	0.90849	360.815
