Omega	Omega_err	MA1	svev	alpha
0.0441554	5.03663e-05	891.899	399.507	-0.0796963
0.000455469	5.87486e-07	330.236	671.838	-0.27035
0.0118111	1.45138e-05	735.794	369.427	-0.084414
2.55773e-06	6.1108e-09	261.89	828.569	0.0990451
0.0111853	1.25232e-05	151.991	625.837	-0.221465
0.0749459	7.29453e-05	167.17	987.722	-0.0929363
0.00335989	4.57861e-06	443.558	186.04	-0.0633604
0.00399826	5.52354e-06	546.745	217.978	0.214372
0.00794367	1.08599e-05	606.334	976.482	0.168092
0.00384212	5.32342e-06	305.054	153.936	-0.0351508
0.046249	5.52579e-05	290.469	429.559	-0.082559
0.0135367	1.73941e-05	640.682	801.152	0.138452
0.00962037	1.27388e-05	712.026	690.547	0.218399
0.00176466	2.83421e-06	678.869	698.318	0.21935
0.00567631	7.89733e-06	809.952	835.255	0.263871
0.0401404	4.62315e-05	311.255	164.008	1.44002
0.0209797	2.23482e-05	140.226	984.324	0.297128
0.00506716	7.3275e-06	206.957	478.848	0.1172
0.0192313	2.37604e-05	840.074	106.349	1.4111
0.0291611	3.01345e-05	155.344	610.53	0.107757
0.000515155	9.27415e-07	599.592	515.108	0.25352
0.0157579	1.71324e-05	163.109	575.98	0.142039
0.00529149	5.92744e-06	100.005	335.97	-0.3332
0.0121586	1.58512e-05	612.25	869.53	-0.137302
0.00235904	3.63563e-06	851.889	345.127	0.156658
0.0226458	2.69328e-05	887.744	458.213	0.0544844
0.00744747	8.2581e-06	112.002	145.174	0.0998311
0.00735462	8.45208e-06	156.849	281.02	0.126621
0.000742483	1.30044e-06	817.594	358.689	0.270085
0.000639794	1.01673e-06	455.632	52.3011	1.50717
0.0159353	1.84307e-05	613.689	340.708	0.0273467
0.0127823	1.66094e-05	219.343	528.989	-0.1738
0.00167784	2.67836e-06	781.11	262.941	-0.136261
0.00121993	2.08296e-06	519.492	773.317	0.134407
0.00511991	7.2438e-06	532	215.345	0.0319345
0.00116177	1.91956e-06	977.2	325.04	-0.29413
0.0995359	0.000113482	110.102	815.956	-0.288214
0.0515768	5.82701e-05	872.653	845.704	0.173043
0.00897063	1.21433e-05	100.665	80.0738	0.0609398
0.0341429	4.17179e-05	270.34	792.939	-0.194823
0.0265767	3.21588e-05	950.4	741.529	-0.149514
0.000421764	7.01976e-07	481.752	50.3659	1.43613
0.000133	2.48997e-07	390.151	294.91	-0.21106
0.0219048	2.17019e-05	186.559	951.77	0.110159
5.59914e-05	3.99586e-08	379.089	737.688	0.0445146
0.0123742	1.64011e-05	703.39	911.367	0.100587
0.0044985	5.32927e-06	159.087	447.089	-0.238558
0.0203813	1.70323e-05	124.333	485.895	-0.095779
0.00154998	2.18916e-06	159	99.202	-0.146533
0.00125453	1.2761e-06	348.309	644.331	0.102489
0.00154987	2.52187e-06	829.191	599.381	0.282721
0.110383	0.000103824	113.372	767.674	0.145456
0.0162777	1.94198e-05	301.469	292.285	0.178479
0.0104643	1.38165e-05	966.557	299.806	0.0164296
0.000662933	1.10825e-06	642.517	142.846	0.000727968
0.00910496	1.2031e-05	497.192	586.854	0.127921
0.00610767	8.4411e-06	531.794	928.865	0.226804
0.000623029	7.65286e-07	164.667	279.716	-0.235857
0.00718567	7.81105e-06	96.8987	291.109	-0.235385
0.00895382	1.19989e-05	695.27	529.655	-0.115566
0.00862543	1.14311e-05	452.511	453.736	0.11888
0.0151416	1.92953e-05	939.484	255.707	0.0958287
0.000860419	1.40397e-06	276.914	405.97	0.151467
0.00170455	2.05121e-06	179.089	216.83	0.133916
0.00725838	2.37299e-06	291.94	625.613	-0.0236282
0.0014643	2.37923e-06	810.601	314.005	0.184561
0.110431	0.000112476	640.456	916.111	-0.100228
