Omega	Omega_err	mH1	mH2	mHc
0.000580167	3.21093e-05	280.374	586.814	568.85
0.00100169	0.000152569	492.754	641.946	638.082
0.000233746	2.53395e-05	538.692	735.986	760.325
0.000261327	4.77356e-05	464.953	478.859	559.604
0.00044718	4.6817e-05	434.497	575.625	569.827
0.000453759	4.2128e-05	422.522	559.404	527.259
0.00391387	0.000277094	587.831	753.256	775.042
0.000797449	7.18091e-05	313.173	469.786	450.927
3.29421e-05	8.25604e-05	679.53	855.429	829.035
0.000865775	0.000139044	454.48	558.786	478.222
0.00025766	2.00465e-05	392.917	486.877	503.519
0.000250788	2.64558e-05	465.387	804.672	686.238
0.000205647	6.06955e-05	685.241	794.574	766.42
3.50548e-06	3.2338e-06	181.612	735.881	670.131
0.00060184	7.86082e-05	438.134	493.779	569.063
0.000129514	9.64798e-06	129.73	539.575	402.7
0.000111194	1.60149e-05	350.687	803.647	809.108
0.000390865	7.068e-05	635.78	830.47	755.636
0.00113839	0.000151929	598.774	898.25	837.782
0.0042803	0.000489988	825.546	833.735	883.821
0.000219508	4.42357e-05	602.681	663.245	677.197
0.000145302	3.21459e-05	556.515	681.406	687.244
0.000906986	0.000250123	862.371	912.666	961.299
0.00049189	4.27344e-05	390.161	684.389	608.885
0.000463586	0.000156166	832.887	839.585	914.709
0.00194126	0.000309086	727.872	767.119	736.962
0.000316105	0.000127247	875.06	896.363	974.792
0.00128326	0.000241182	891.303	892.652	913.2
0.000741966	6.13796e-05	162.077	742.552	658.285
0.000185637	2.12512e-05	568.728	857.694	965.493
0.00129246	0.000236255	601.755	705.737	702.609
0.000399947	4.5717e-05	541.871	789.008	837.502
0.00105998	0.000124068	523.238	723.304	697.846
0.000276467	1.1224e-05	236.199	581.526	593.135
0.0029836	0.000210334	508.549	718.477	716.699
0.000571341	9.62071e-05	530.928	718.628	710.024
0.000519908	8.33673e-05	519.671	657.537	664.018
1.12618e-05	3.63123e-06	133.58	415.16	481.944
0.00300597	0.000151326	214.38	243.119	282.512
0.000301059	4.35457e-05	631.088	954.535	892.313
0.00168245	0.00037748	808.163	813.988	845.825
0.000508612	3.14928e-05	252.472	616.021	665.119
0.000683208	0.000178029	821.278	888.487	947.704
5.81072e-07	4.45448e-07	156.525	824.984	671.785
0.00426246	0.000598196	284.87	332.601	298.933
0.000225404	1.78329e-05	263.074	381.007	323.632
0.00126644	0.000110181	472.72	991.071	957.693
0.000502671	5.66341e-05	580.77	976.98	849.971
0.00142525	0.00012758	299.513	303.343	346.892
0.00100728	0.000227684	881.275	929.689	992.334
0.00163956	0.000254466	721.922	768.72	765.306
0.00535221	0.000554237	485.005	485.094	523.506
7.40994e-06	6.14429e-06	184.961	864.195	844.953
0.000172463	2.58355e-05	609.658	833.246	848.034
0.0581347	0.0018516	496.365	589.093	567.967
0.00882776	0.000506918	813.772	827.669	829.191
0.000395717	4.65226e-05	461.07	664.248	655.543
0.000116295	2.04662e-05	596.084	740.732	735.384
0.000198619	7.59629e-05	671.323	708.342	739.758
0.000971833	0.000196168	796.348	876.652	834.307
0.00212491	0.000443074	828.567	858.421	905.21
0.000331564	7.48804e-05	614.244	668.07	760.845
0.0012806	8.01864e-05	815.151	906.255	837.298
0.0025905	0.00029722	716.62	799.319	718.167
0.00578058	0.000445362	761.473	762.586	804.955
6.02008e-05	2.4216e-05	507.44	602.076	669.636
0.00175735	0.000273755	888.038	977.483	904.595
0.000163401	4.42851e-05	612.867	688.106	749.785
0.000630452	2.93996e-05	346.285	914.594	861.04
0.00171608	0.000565762	335.752	432.026	441.327
0.00283315	0.000396863	795.566	892.669	856.695
0.000144892	2.32338e-05	478.041	640.155	667.77
0.000107053	0.000113224	681.253	754.141	787.035
0.000719402	0.000213482	831.613	919.693	909.863
0.00455638	0.000310327	493.569	660.828	590.384
0.0130385	0.000763165	835.868	979.531	951.947
0.000210711	4.52958e-05	642.158	691.217	741.044
7.62146e-05	8.20855e-06	175.842	513.703	530.138
7.00033e-05	4.63307e-05	622.636	843.469	891.075
0.000274998	9.1537e-05	787.055	867.21	864.377
0.0031476	0.00036459	836.616	846.402	867.563
0.00262127	0.000249137	691.476	780.414	854.05
0.000162567	1.16974e-05	215.656	421.573	451.634
0.00122842	0.000270746	649.013	669.095	692.95
0.00146563	0.000217095	570.273	703.303	666.158
0.000213196	5.37872e-05	576.18	651.207	654.851
0.000246251	4.09543e-05	449.735	477.396	505.462
0.000134411	2.30711e-05	473.302	573.733	644.27
0.00506912	0.000342939	788.746	811.483	826.681
0.00158249	0.000246797	559.81	752.705	686.935
0.0019276	0.0001242	186.506	231.625	279.064
0.00118957	0.000126039	688.299	943.819	869.69
0.000542645	0.000188879	780.176	808.117	847.606
0.000574216	9.139e-05	638.969	778.068	759.858
0.00032606	4.86822e-05	525.44	671.716	651.251
0.000972759	0.000112922	403.04	749.728	643.678
0.000142274	1.24654e-05	290.095	604.806	544.74
1.993e-05	1.01284e-05	168.864	893.568	814.019
0.0132431	0.000877783	472.506	483.536	473.506
0.000318443	0.000364644	693.104	694.971	730.573
0.000821899	0.000159627	514.246	621.975	535.685
0.00177286	0.000152398	490.179	492.713	539.805
8.92344e-05	1.99072e-05	444.455	652.453	642.42
0.00771579	0.00102998	839.02	923.43	910.358
0.000186244	1.5807e-05	404.602	497.786	546.115
0.000777311	8.97488e-05	534.968	699.99	756.569
0.000308605	5.08555e-05	745.756	927.13	892.968
0.00205917	0.000161013	567.408	635.936	615.08
0.00197337	0.000122829	296.727	938.081	913.671
0.000407781	7.70592e-05	649.283	770.31	770.353
0.00183613	0.000262896	372.424	449.751	493.227
0.000174219	2.05017e-05	465.428	532.072	537.468
0.000190739	3.95842e-05	626.128	877.056	868.011
0.00167826	0.000113739	222.466	330.612	266.394
0.00379214	0.000328905	608.017	724.606	682.77
0.000364687	3.15348e-05	316.243	350.244	366.324
3.2839e-05	2.89694e-05	214.705	547.823	481.19
0.000661067	0.000109234	653.384	826.491	746.929
0.00126888	0.000152913	450.956	503.463	473.526
0.000670062	8.70994e-05	503.562	706.239	633.915
0.00012635	1.25978e-05	236.899	373.014	407.615
0.000184601	3.62724e-05	572.886	922.655	874.146
0.000537291	0.000125145	567.887	666.066	611.642
0.00155973	0.00020894	558.099	566.305	614.248
0.000350452	3.80295e-05	420.671	521.351	636.628
0.000231884	6.91337e-05	567.741	623.244	633.34
0.000132449	1.37126e-05	454.556	795.537	743.503
0.0181195	0.00188041	699.003	699.621	715.757
0.0191789	0.000650662	362.324	727.231	640.925
