Omega	Omega_uncer	mH1	mH2	mHc
0.000580167	3.21093e-05	280.374	586.814	568.85
0.00100169	0.000152571	492.754	641.946	638.082
0.000233746	2.53394e-05	538.692	735.986	760.325
0.000261326	4.77752e-05	464.953	478.859	559.604
0.00044718	4.68195e-05	434.497	575.625	569.827
0.000453757	4.22134e-05	422.522	559.404	527.259
0.00391387	0.000277094	587.831	753.256	775.042
0.000797424	7.18137e-05	313.173	469.786	450.927
3.29421e-05	8.25604e-05	679.53	855.429	829.035
0.000865732	0.000138993	454.48	558.786	478.222
0.00025766	2.00468e-05	392.917	486.877	503.519
0.000250788	2.64558e-05	465.387	804.672	686.238
0.000205646	6.07178e-05	685.241	794.574	766.42
3.50548e-06	3.2338e-06	181.612	735.881	670.131
0.00060182	7.87182e-05	438.134	493.779	569.063
0.000129514	9.64798e-06	129.73	539.575	402.7
0.000111194	1.60149e-05	350.687	803.647	809.108
0.000390865	7.06802e-05	635.78	830.47	755.636
0.00113839	0.000151929	598.774	898.25	837.782
0.00427987	0.000472394	825.546	833.735	883.821
0.000219515	4.44658e-05	602.681	663.245	677.197
0.000145302	3.21456e-05	556.515	681.406	687.244
0.000906967	0.000250128	862.371	912.666	961.299
0.00049189	4.27344e-05	390.161	684.389	608.885
0.000463585	0.000156163	832.887	839.585	914.709
0.00194103	0.000309032	727.872	767.119	736.962
0.000316103	0.000127254	875.06	896.363	974.792
0.00128325	0.000236985	891.303	892.652	913.2
0.000741966	6.13796e-05	162.077	742.552	658.285
0.000185637	2.12512e-05	568.728	857.694	965.493
0.00129246	0.000236216	601.755	705.737	702.609
0.000399947	4.5717e-05	541.871	789.008	837.502
0.00105998	0.000124068	523.238	723.304	697.846
0.000276467	1.1224e-05	236.199	581.526	593.135
0.0029836	0.00021033	508.549	718.477	716.699
0.000571341	9.61944e-05	530.928	718.628	710.024
0.000519908	8.33702e-05	519.671	657.537	664.018
1.12618e-05	3.63123e-06	133.58	415.16	481.944
0.00300571	0.000151225	214.38	243.119	282.512
0.000301059	4.35457e-05	631.088	954.535	892.313
0.0016823	0.000381273	808.163	813.988	845.825
0.000508612	3.14928e-05	252.472	616.021	665.119
0.000683222	0.000174131	821.278	888.487	947.704
5.81072e-07	4.45448e-07	156.525	824.984	671.785
0.00425978	0.000599701	284.87	332.601	298.933
0.000225402	1.78265e-05	263.074	381.007	323.632
0.00126644	0.000110181	472.72	991.071	957.693
0.000502669	5.66353e-05	580.77	976.98	849.971
0.00142462	0.000127246	299.513	303.343	346.892
0.00100729	0.0002274	881.275	929.689	992.334
0.00163944	0.000255271	721.922	768.72	765.306
0.00534863	0.000554225	485.005	485.094	523.506
7.40994e-06	6.14429e-06	184.961	864.195	844.953
0.000172463	2.58358e-05	609.658	833.246	848.034
0.0581305	0.0018236	496.365	589.093	567.967
0.00882544	0.000507319	813.772	827.669	829.191
0.000395717	4.65228e-05	461.07	664.248	655.543
0.000116298	2.05126e-05	596.084	740.732	735.384
0.000198616	7.60984e-05	671.323	708.342	739.758
0.000971786	0.000195372	796.348	876.652	834.307
0.00212477	0.000432622	828.567	858.421	905.21
0.000331547	7.35774e-05	614.244	668.07	760.845
0.00128059	8.01953e-05	815.151	906.255	837.298
0.00259018	0.000297174	716.62	799.319	718.167
0.00577887	0.000391062	761.473	762.586	804.955
6.02008e-05	2.42159e-05	507.44	602.076	669.636
0.00175724	0.000276881	888.038	977.483	904.595
0.000163401	4.29421e-05	612.867	688.106	749.785
