Omega	Omega_uncer	MA1	MS1	alpha	svev
0.000642764	6.12514e-05	125.747	579.297	-1.33782	103.457
0.100355	0.00355025	893.837	454.573	-0.293103	845.247
3.59378e-05	7.66209e-06	580.898	738.581	-0.825635	163.342
0.0901149	0.00438067	528.456	235.622	0.358635	425.607
0.00662441	0.000303342	506.6	373.192	1.04468	400.245
0.0167876	0.000691372	789.462	140.212	-1.24143	109.189
0.088778	0.00180826	631.988	328.239	0.516006	820.453
0.00549882	0.000213186	424.262	599.314	-0.110764	508.282
15094.8	64530.1	228.611	395.596	3.35659e-05	539.364
47.3819	0.405435	800.168	112.296	-1.14337	906.806
0.00201906	0.000216559	800.876	768.45	-0.240625	373.873
0.00153518	1.02948e-05	54.0722	443.487	-0.421209	38.5264
0.00508841	0.000774244	766.68	326.078	0.0372539	199.258
0.00561468	0.00022241	416.29	443.275	0.370505	617.082
0.00247388	0.000137777	721.514	760.977	-1.40227	282.903
1.62798	0.0543945	410.291	101.559	-1.06194	518.867
0.00279345	0.000126009	447.154	561.828	0.310327	662.322
6.01561	0.0619051	624.123	147.272	-0.707477	735.099
0.0565723	0.00425971	865.722	712.196	-0.0872683	698.512
1.79335	0.120967	205.684	82.9426	1.29083	838.309
0.761699	0.0456218	359.021	85.496	1.47433	423.318
5.92089e-05	7.27705e-06	478.771	832.472	0.786484	587.641
0.0616971	0.00147514	643.449	340.136	-0.87167	804.184
0.597996	0.0299669	391.694	91.8474	-1.38321	385.128
0.0180896	0.000600139	603.675	403.993	1.00827	658.833
3.13028e-06	1.01317e-06	501.265	764.561	-0.77563	96.6506
0.00823284	0.000292149	526.757	557.13	-0.289769	725.606
0.000161529	2.15678e-05	590.073	717.248	0.636839	319.328
1.01426	0.0110162	752.745	283.31	1.3931	672.333
0.00128092	3.93702e-05	165.783	497.993	-0.762655	694.089
0.00056709	5.74357e-05	788.129	827.862	0.904891	480.298
0.0242106	0.00078459	869.709	505.615	-0.943095	847.9
1.81483e-05	1.06162e-05	859.608	154.844	0.081626	21.726
0.0473389	0.00194232	869.404	503.98	-0.311109	779.313
0.348211	0.0076266	111.11	164.643	-0.187933	808.926
4.56425e-05	2.33045e-05	831.891	783.407	0.527728	143.748
0.00319452	7.75196e-05	116.717	324.68	0.469968	611.807
0.0605205	0.00146003	772.674	397.952	-0.933753	906.928
0.00133167	4.38474e-05	275.813	804.704	0.386773	990.822
0.000191055	8.74875e-06	360.319	809.297	-1.06283	823.094
0.0224346	0.000772332	914.141	470.089	-0.803103	687.986
0.0408234	0.00117746	924.069	458.663	1.16429	645.69
0.0261816	0.00075242	573.306	458.309	-1.448	311.474
0.0494739	0.00138779	291.715	336.639	-0.156393	707.362
0.0328528	0.000852301	611.319	55.9838	-0.494165	100.714
0.00304297	0.000125649	403.935	532.663	-0.230409	545.934
3.78125e-06	4.06799e-07	387.367	835.42	0.452908	50.7222
0.0124772	0.000463613	694.718	494.177	0.690057	806.051
0.0175187	0.000592701	914.266	598.416	0.554522	964.052
0.034099	0.000725194	107.079	822.111	1.35555	547.569
1.12906e-05	1.20381e-06	330.42	659.878	0.455127	970.602
0.00173547	0.000180105	946.516	225.414	0.251799	95.995
6.47199e-06	3.54961e-07	231.397	471.499	0.376417	922.93
0.00736092	8.06663e-06	54.1622	136.623	0.297868	47.4291
1.02405	0.017622	922.043	90.3521	-0.378634	239.74
0.00901243	0.000486744	534.529	106.831	0.582104	100.03
0.904225	0.0147951	655.247	868.024	-0.004205	362.438
0.00926971	0.000359081	740.135	410.646	0.741155	430.715
0.00707754	0.000188626	120.523	478.291	-1.32451	381.408
0.0176234	0.000543398	653.704	573.257	-1.33678	658.886
0.0224917	0.000460149	94.7562	716.703	1.16973	694.612
0.0120493	0.000438834	803.326	685.516	-1.40004	467.682
0.00319271	0.000206121	725.868	529.664	0.96122	434.397
0.000197667	2.35005e-05	586.494	817.749	-0.661839	491.764
0.365006	0.00644521	735.773	246.323	-0.726961	788.204
2.12751e-09	1.55234e-07	606.969	396.776	0.0904347	5.51356
0.129899	0.00259863	825.066	289.152	0.619566	607.573
0.200209	0.0183701	812.409	469.408	0.100429	771.931
0.00103007	2.92781e-05	236.111	834.307	1.24674	404.898
0.361841	0.00582355	569.823	396.531	-1.43313	951.253
0.128529	0.00296464	876.195	356.936	-0.538641	849.935
0.00702394	0.000308762	224.685	415.28	0.0442945	618.258
0.0144326	0.000452885	611.604	758.497	1.43277	782.918
0.542444	0.0982246	205.273	132.828	-0.807833	485.366
0.00331763	0.000146639	371.98	690.598	-1.46489	940.133
0.0010332	3.41242e-05	210.006	922.982	-0.927157	566.112
0.0313854	0.000986654	807.289	97.6379	-0.362621	102.625
0.0336449	0.00302026	444.169	300.361	-0.254427	428.965
0.0416917	0.00133723	607.297	378.891	-0.452514	747.811
0.00595944	0.000278688	744.171	637.484	0.984303	870.19
0.140951	0.00524299	445.981	278.806	-0.328909	769.609
0.000580867	3.18653e-05	361.635	570.413	0.353441	638.526
0.0388907	0.00104968	311.011	240.702	0.640936	646.568
9.87614	0.15988	213.685	59.5582	-0.101172	908.984
0.202883	0.00280647	107.196	302.687	-1.49758	852.518
0.254362	0.0190927	553.048	220.889	0.00476599	442.875
0.00148628	8.52269e-05	549.779	704.784	-1.01109	857.62
6.33271e-05	6.55091e-06	392.268	734.767	-0.544716	991.482
0.014578	0.000756365	63.5734	374.072	1.00618	722.195
4.78438	0.0637204	894.485	121.094	-0.435607	433.347
1.83984e-06	1.42663e-07	311.797	926.826	-0.853481	66.293
0.119042	0.0135769	936.384	543.645	-0.0855873	696.428
0.00535423	0.000246128	796.332	894.541	-1.41867	496.565
0.000689494	1.73964e-05	165.43	416.676	-0.351232	550.39
0.00123822	3.90469e-05	171.459	552.05	0.576688	566.793
0.00268636	0.000158601	336.817	708.884	0.0479156	11.1668
0.00114471	3.81954e-05	132.957	741.477	-0.522235	336.193
0.0574297	0.00133382	812.572	734.421	-1.47501	695.414
0.000132425	2.24862e-05	711.247	909.449	-1.13667	259.561
2.43198	0.0523287	503.094	146.304	0.689865	611.333
0.0157708	0.000321462	90.8449	336.158	-0.525602	768.246
0.11728	0.00238879	702.834	308.529	-1.0253	721.174
0.00343501	0.000170978	810.58	830.643	1.132	857.347
0.000509675	4.63573e-05	589.527	689.995	-1.05628	376.202
0.0988473	0.00273642	481.472	223.386	0.602081	498.044
0.00133026	0.00010104	907.807	932.863	-0.54439	722.417
6.32478	0.0783158	892.312	118.261	0.590111	465.437
0.0836122	0.00761594	214.565	207.898	-0.190568	408.022
0.00497154	0.000191146	494.057	493.638	-0.85378	772.264
0.0505219	0.00139553	752.167	283.168	-0.883519	402.47
4.46079e-05	1.88258e-06	163.811	459.203	0.393562	80.0134
0.00253022	9.58098e-05	199.198	307.932	0.709782	789.26
0.258006	0.0107993	481.318	175.747	0.456125	418.162
0.00923958	0.000217599	158.609	443.126	-0.212494	971.933
0.000829358	5.21169e-05	511.387	524.866	-1.39305	121.079
0.0548687	0.00134876	682.764	291.16	0.61419	496.424
0.113075	0.0024531	734.798	343.047	-0.953575	923.812
0.0178004	0.000835154	576.215	494.895	0.129034	415.82
3.82172e-05	1.5022e-05	904.098	909.857	0.663315	167.181
0.000570054	1.98138e-05	267.789	819.185	-1.21023	437.633
0.00455849	0.000256502	944.931	708.68	0.695012	760.202
0.000289134	1.7882e-05	201.806	296.411	-1.20937	154.437
0.000148624	4.12323e-05	771.277	650.79	0.569651	172.453
0.0791074	0.00599009	891.95	320.508	0.0141055	377.451
3.57456	0.0468686	613.555	154.573	0.616967	701.257
0.00191544	0.00014276	599.468	413.426	-0.908374	238.222
