Omega	Omega_uncer	MA1	MS1	svev	alpha
0.120968	1.30996e-06	174	205	657.969	0.2
0.120704	1.22299e-06	175	205	652.068	0.2
0.120635	1.11782e-06	176	205	646.718	0.2
0.120611	9.98682e-07	177	205	641.563	0.2
0.120598	8.65803e-07	178	205	636.51	0.2
0.120588	7.23875e-07	179	205	631.535	0.2
0.120579	1.05347e-06	180	205	626.633	0.2
0.120571	5.23152e-07	181	205	621.8	0.2
0.120562	4.64321e-07	182	205	617.036	0.2
0.120554	7.37637e-07	183	205	612.339	0.2
0.120545	8.41674e-07	184	205	607.712	0.2
0.120536	1.14053e-06	185	205	603.155	0.2
0.120528	1.37675e-06	186	205	598.665	0.2
0.120519	1.68019e-06	187	205	594.243	0.2
0.120511	1.8982e-06	188	205	589.887	0.2
0.120502	2.39134e-06	189	205	585.596	0.2
0.120494	2.57337e-06	190	205	581.372	0.2
0.120485	1.09068e-06	191	205	577.212	0.2
0.120477	1.23807e-06	192	205	573.118	0.2
0.120468	1.44023e-06	193	205	569.086	0.2
0.12046	1.72542e-06	194	205	565.119	0.2
0.120451	1.27622e-06	195	205	561.216	0.2
0.120443	1.2953e-06	196	205	557.375	0.2
0.120435	1.37068e-06	197	205	553.597	0.2
0.120999	1.94772e-06	198	205	551.119	0.2
0.12052	1.67736e-06	199	205	546.453	0.2
0.120432	2.00534e-06	200	205	542.68	0.2
0.120972	2.45912e-06	201	205	540.298	0.2
0.120491	1.88406e-06	202	205	535.841	0.2
0.12098	2.54466e-06	203	205	533.459	0.2
0.120475	3.47927e-06	204	205	529.104	0.2
0.120945	2.01648e-06	205	205	526.821	0.2
0.120473	1.61681e-06	206	205	522.676	0.2
0.120923	1.31273e-06	207	205	520.458	0.2
0.120442	1.37339e-06	208	205	516.52	0.2
0.120871	1.77749e-06	209	205	514.495	0.2
0.120397	1.14834e-06	210	205	510.861	0.2
0.120761	1.00498e-06	211	205	509.029	0.2
0.120902	9.14478e-07	212	205	506.875	0.2
0.120935	8.16432e-07	213	205	504.644	0.2
0.120918	7.1196e-07	214	205	502.448	0.2
0.120879	6.13094e-07	215	205	500.34	0.2
0.12083	5.36319e-07	216	205	498.341	0.2
0.120778	5.08341e-07	217	205	496.457	0.2
0.12074	5.8563e-07	218	205	494.717	0.2
0.120696	8.5193e-07	219	205	493.074	0.2
0.120649	9.37332e-07	220	205	491.532	0.2
0.120604	1.15649e-06	221	205	490.089	0.2
0.120561	1.18795e-06	222	205	488.739	0.2
0.12052	1.42142e-06	223	205	487.478	0.2
0.120482	1.66885e-06	224	205	486.299	0.2
0.120446	1.92851e-06	225	205	485.198	0.2
0.120413	2.19508e-06	226	205	484.169	0.2
0.120955	7.21875e-07	227	205	484.169	0.2
0.12057	7.36025e-07	228	205	482.682	0.2
0.120419	7.58461e-07	229	205	481.617	0.2
0.120883	7.91152e-07	230	205	481.617	0.2
0.120522	8.24347e-07	231	205	480.284	0.2
0.120918	8.78076e-07	232	205	480.284	0.2
0.120512	2.17981e-06	233	205	478.957	0.2
0.1209	1.34269e-06	234	205	478.957	0.2
0.120472	1.3221e-06	235	205	477.712	0.2
0.120831	1.76569e-06	236	205	477.712	0.2
0.120437	2.81398e-06	237	205	476.538	0.2
0.120744	1.28476e-06	238	205	476.538	0.2
0.120387	1.10656e-06	239	205	475.474	0.2
0.120702	1.14335e-06	240	205	475.474	0.2
0.120984	1.17662e-06	241	205	475.474	0.2
0.120458	1.20147e-06	242	205	474.197	0.2
0.120726	1.23087e-06	243	205	474.197	0.2
0.120351	1.25266e-06	244	205	473.192	0.2
0.120636	1.2749e-06	245	205	473.192	0.2
0.120891	1.29622e-06	246	205	473.192	0.2
0.120397	1.30839e-06	247	205	472.036	0.2
0.120672	1.32581e-06	248	205	472.036	0.2
0.120919	1.34505e-06	249	205	472.036	0.2
0.120393	1.35523e-06	250	205	470.863	0.2
0.120636	1.37919e-06	251	205	470.863	0.2
0.120906	1.35887e-06	252	205	470.863	0.2
0.120378	1.39926e-06	253	205	469.708	0.2
0.120619	1.4137e-06	254	205	469.708	0.2
0.120889	1.34485e-06	255	205	469.708	0.2
0.120336	1.33239e-06	256	205	468.573	0.2
0.120606	1.3311e-06	257	205	468.573	0.2
0.120879	1.32491e-06	258	205	468.573	0.2
0.120325	1.31699e-06	259	205	467.446	0.2
0.120599	1.30045e-06	260	205	467.446	0.2
0.120876	1.29817e-06	261	205	467.446	0.2
0.120318	1.29123e-06	262	205	466.32	0.2
0.120598	1.29799e-06	263	205	466.32	0.2
0.120882	1.31156e-06	264	205	466.32	0.2
0.120314	1.32718e-06	265	205	465.184	0.2
0.120601	1.3689e-06	266	205	465.184	0.2
0.120891	1.42164e-06	267	205	465.184	0.2
0.120311	1.47511e-06	268	205	464.036	0.2
0.120604	1.5516e-06	269	205	464.036	0.2
0.120901	1.6406e-06	270	205	464.036	0.2
0.120309	1.7277e-06	271	205	462.874	0.2
0.120609	1.83982e-06	272	205	462.874	0.2
0.120914	1.96357e-06	273	205	462.874	0.2
0.120308	2.08025e-06	274	205	461.695	0.2
0.120616	1.56655e-06	275	205	461.695	0.2
0.120929	1.6538e-06	276	205	461.695	0.2
0.120307	1.65395e-06	277	205	460.497	0.2
0.120624	1.73514e-06	278	205	460.497	0.2
0.120928	2.017e-06	279	205	460.497	0.2
0.120297	2.95173e-06	280	205	459.313	0.2
0.120656	1.95343e-06	281	205	459.313	0.2
0.120984	2.92278e-06	282	205	459.313	0.2
0.120341	2.46015e-06	283	205	458.053	0.2
0.120645	2.22487e-06	284	205	458.053	0.2
0.12098	2.51246e-06	285	205	458.053	0.2
0.120335	3.08052e-06	286	205	456.795	0.2
0.120646	2.44954e-06	287	205	456.795	0.2
0.120987	2.67565e-06	288	205	456.795	0.2
0.120333	2.60233e-06	289	205	455.527	0.2
0.120677	2.69864e-06	290	205	455.527	0.2
0.120221	2.77178e-06	291	205	454.553	0.2
0.12057	2.04796e-06	292	205	454.553	0.2
0.120923	2.05503e-06	293	205	454.553	0.2
0.120309	2.04278e-06	294	205	453.341	0.2
0.120665	2.04029e-06	295	205	453.341	0.2
0.120214	2.01979e-06	296	205	452.373	0.2
0.120574	2.00721e-06	297	205	452.373	0.2
0.120938	1.98907e-06	298	205	452.373	0.2
0.120307	1.9534e-06	299	205	451.143	0.2
0.120674	1.92343e-06	300	205	451.143	0.2
0.120212	1.87684e-06	301	205	450.161	0.2
0.120582	1.83764e-06	302	205	450.161	0.2
0.120956	1.7942e-06	303	205	450.161	0.2
0.120306	1.73274e-06	304	205	448.911	0.2
0.120682	1.67888e-06	305	205	448.911	0.2
0.120209	1.61328e-06	306	205	447.919	0.2
0.120589	1.5487e-06	307	205	447.919	0.2
0.120971	1.4808e-06	308	205	447.919	0.2
0.120303	1.39847e-06	309	205	446.652	0.2
0.120688	1.32164e-06	310	205	446.652	0.2
0.120207	1.23958e-06	311	205	445.652	0.2
0.120593	1.16212e-06	312	205	445.652	0.2
0.120983	1.08632e-06	313	205	445.652	0.2
0.1203	1.00969e-06	314	205	444.375	0.2
0.120691	1.0396e-06	315	205	444.375	0.2
0.12023	1.13859e-06	316	205	443.371	0.2
0.120624	1.32973e-06	317	205	443.371	0.2
0.120186	1.40558e-06	318	205	442.429	0.2
0.120582	1.5394e-06	319	205	442.429	0.2
0.12098	1.70267e-06	320	205	442.429	0.2
0.120271	1.88083e-06	321	205	441.131	0.2
0.120669	2.02932e-06	322	205	441.131	0.2
0.12022	2.18661e-06	323	205	440.147	0.2
0.12062	2.38096e-06	324	205	440.147	0.2
0.12018	2.59534e-06	325	205	439.209	0.2
