sqrts	xsec	
349.091	1.77622e-06	
349.187	1.77343e-06	
349.284	1.77066e-06	
349.381	1.7679e-06	
349.478	1.76517e-06	
349.574	1.76245e-06	
349.671	1.75976e-06	
349.768	1.75708e-06	
349.865	1.75442e-06	
349.961	1.75178e-06	
350.058	1.74915e-06	
350.155	1.74654e-06	
350.252	1.74395e-06	
350.348	1.74138e-06	
350.445	1.73883e-06	
350.542	1.73629e-06	
350.639	1.73377e-06	
350.735	1.73126e-06	
350.832	1.72878e-06	
350.929	1.7263e-06	
351.026	1.72385e-06	
351.122	1.72141e-06	
351.219	1.71899e-06	
351.316	1.71658e-06	
351.413	1.71419e-06	
351.509	1.71181e-06	
351.606	1.70945e-06	
351.703	1.7071e-06	
351.8	1.70477e-06	
351.896	1.70245e-06	
351.993	1.70015e-06	
352.09	1.69786e-06	
352.187	1.69559e-06	
352.283	1.69333e-06	
352.38	1.69109e-06	
352.477	1.68885e-06	
352.574	1.68664e-06	
352.67	1.68444e-06	
352.767	1.68225e-06	
352.864	1.68007e-06	
352.961	1.67791e-06	
353.057	1.67576e-06	
353.154	1.67362e-06	
353.251	1.6715e-06	
353.348	1.66939e-06	
353.444	1.66729e-06	
353.541	1.66521e-06	
353.638	1.66314e-06	
353.735	1.66108e-06	
353.831	1.65903e-06	
353.928	1.657e-06	
354.025	1.65497e-06	
354.122	1.65296e-06	
354.218	1.65097e-06	
354.315	1.64898e-06	
354.412	1.647e-06	
354.509	1.64504e-06	
354.605	1.64309e-06	
354.702	1.64115e-06	
354.799	1.63922e-06	
354.896	1.6373e-06	
354.992	1.6354e-06	
355.089	1.6335e-06	
355.186	1.63162e-06	
355.283	1.62974e-06	
355.379	1.62788e-06	
355.476	1.62603e-06	
355.573	1.62419e-06	
355.67	1.62236e-06	
355.766	1.62054e-06	
355.863	1.61873e-06	
355.96	1.61693e-06	
356.057	1.61514e-06	
356.153	1.61336e-06	
356.25	1.61159e-06	
356.347	1.60983e-06	
356.444	1.60808e-06	
356.54	1.60634e-06	
356.637	1.60461e-06	
356.734	1.60289e-06	
356.831	1.60118e-06	
356.927	1.59948e-06	
357.024	1.59779e-06	
357.121	1.59611e-06	
357.218	1.59444e-06	
357.314	1.59277e-06	
357.411	1.59112e-06	
357.508	1.58947e-06	
357.605	1.58784e-06	
357.701	1.58621e-06	
357.798	1.58459e-06	
357.895	1.58298e-06	
357.992	1.58138e-06	
358.088	1.57979e-06	
358.185	1.57821e-06	
358.282	1.57663e-06	
358.379	1.57506e-06	
358.475	1.57351e-06	
358.572	1.57196e-06	
358.669	1.57042e-06	
358.766	1.56888e-06	
358.862	1.56736e-06	
358.959	1.56584e-06	
359.056	1.56433e-06	
359.153	1.56283e-06	
359.249	1.56134e-06	
359.346	1.55985e-06	
359.443	1.55838e-06	
359.54	1.55691e-06	
359.636	1.55544e-06	
359.733	1.55399e-06	
359.83	1.55254e-06	
359.927	1.55111e-06	
360.023	1.54967e-06	
360.12	1.54825e-06	
360.217	1.54683e-06	
360.314	1.54542e-06	
360.41	1.54402e-06	
360.507	1.54263e-06	
360.604	1.54124e-06	
360.701	1.53986e-06	
360.797	1.53849e-06	
360.894	1.53712e-06	
360.991	1.53576e-06	
361.088	1.53441e-06	
361.184	1.53306e-06	
361.281	1.53173e-06	
361.378	1.53039e-06	
361.475	1.52907e-06	
361.571	1.52775e-06	
361.668	1.52644e-06	
361.765	1.52513e-06	
361.862	1.52384e-06	
361.958	1.52254e-06	
362.055	1.52126e-06	
362.152	1.51998e-06	
362.249	1.51871e-06	
362.345	1.51744e-06	
362.442	1.51618e-06	
362.539	1.51493e-06	
362.636	1.51368e-06	
362.732	1.51244e-06	
362.829	1.51121e-06	
362.926	1.50998e-06	
363.023	1.50876e-06	
363.119	1.50754e-06	
363.216	1.50633e-06	
363.313	1.50512e-06	
363.41	1.50393e-06	
363.506	1.50273e-06	
363.603	1.50155e-06	
363.7	1.50037e-06	
363.797	1.49919e-06	
363.893	1.49802e-06	
363.99	1.49686e-06	
364.087	1.4957e-06	
364.184	1.49455e-06	
364.28	1.4934e-06	
364.377	1.49226e-06	
364.474	1.49112e-06	
364.571	1.48999e-06	
364.667	1.48887e-06	
364.764	1.48775e-06	
364.861	1.48663e-06	
364.958	1.48553e-06	
365.054	1.48442e-06	
365.151	1.48332e-06	
365.248	1.48223e-06	
365.345	1.48114e-06	
365.441	1.48006e-06	
365.538	1.47899e-06	
365.635	1.47791e-06	
365.732	1.47685e-06	
365.828	1.47579e-06	
365.925	1.47473e-06	
366.022	1.47368e-06	
366.119	1.47263e-06	
366.215	1.47159e-06	
366.312	1.47055e-06	
366.409	1.46952e-06	
366.506	1.46849e-06	
366.602	1.46747e-06	
366.699	1.46646e-06	
366.796	1.46544e-06	
366.893	1.46444e-06	
366.989	1.46343e-06	
367.086	1.46243e-06	
367.183	1.46144e-06	
367.28	1.46045e-06	
367.376	1.45947e-06	
367.473	1.45849e-06	
367.57	1.45751e-06	
367.667	1.45654e-06	
367.763	1.45558e-06	
367.86	1.45462e-06	
367.957	1.45366e-06	
368.054	1.45271e-06	
368.15	1.45176e-06	
368.247	1.45081e-06	
368.344	1.44988e-06	
368.441	1.44894e-06	
368.537	1.44801e-06	
368.634	1.44708e-06	
368.731	1.44616e-06	
368.828	1.44524e-06	
368.924	1.44433e-06	
369.021	1.44342e-06	
369.118	1.44252e-06	
369.215	1.44161e-06	
369.311	1.44072e-06	
369.408	1.43983e-06	
369.505	1.43894e-06	
369.602	1.43805e-06	
369.698	1.43717e-06	
369.795	1.4363e-06	
369.892	1.43542e-06	
369.989	1.43456e-06	
370.085	1.43369e-06	
370.182	1.43283e-06	
370.279	1.43197e-06	
370.376	1.43112e-06	
370.472	1.43027e-06	
370.569	1.42943e-06	
370.666	1.42859e-06	
370.763	1.42775e-06	
370.859	1.42692e-06	
370.956	1.42609e-06	
371.053	1.42526e-06	
371.15	1.42444e-06	
371.246	1.42362e-06	
371.343	1.42281e-06	
371.44	1.422e-06	
