Omega	Omega_err	MA1	MS1	svev	alpha
0.000642764	6.12514e-05	125.747	579.297	103.457	-1.33782
0.100355	0.00355025	893.837	454.573	845.247	-0.293103
3.59378e-05	7.66209e-06	580.898	738.581	163.342	-0.825635
0.0901149	0.00438067	528.456	235.622	425.607	0.358635
0.00662441	0.000303342	506.6	373.192	400.245	1.04468
0.0167876	0.000691372	789.462	140.212	109.189	-1.24143
0.088778	0.00180826	631.988	328.239	820.453	0.516006
0.00549882	0.000213186	424.262	599.314	508.282	-0.110764
15094.8	64530.1	228.611	395.596	539.364	3.35659e-05
47.3819	0.405435	800.168	112.296	906.806	-1.14337
0.00201906	0.000216559	800.876	768.45	373.873	-0.240625
0.00153518	1.02948e-05	54.0722	443.487	38.5264	-0.421209
0.00508841	0.000774244	766.68	326.078	199.258	0.0372539
0.00561468	0.00022241	416.29	443.275	617.082	0.370505
0.00247388	0.000137777	721.514	760.977	282.903	-1.40227
1.62798	0.0543945	410.291	101.559	518.867	-1.06194
0.00279345	0.000126009	447.154	561.828	662.322	0.310327
6.01561	0.0619051	624.123	147.272	735.099	-0.707477
0.0565723	0.00425971	865.722	712.196	698.512	-0.0872683
1.79335	0.120967	205.684	82.9426	838.309	1.29083
0.761699	0.0456218	359.021	85.496	423.318	1.47433
5.92089e-05	7.27705e-06	478.771	832.472	587.641	0.786484
0.0616971	0.00147514	643.449	340.136	804.184	-0.87167
0.597996	0.0299669	391.694	91.8474	385.128	-1.38321
0.0180896	0.000600139	603.675	403.993	658.833	1.00827
3.13028e-06	1.01317e-06	501.265	764.561	96.6506	-0.77563
0.00823284	0.000292149	526.757	557.13	725.606	-0.289769
0.000161529	2.15678e-05	590.073	717.248	319.328	0.636839
1.01426	0.0110162	752.745	283.31	672.333	1.3931
0.00128092	3.93702e-05	165.783	497.993	694.089	-0.762655
0.00056709	5.74357e-05	788.129	827.862	480.298	0.904891
0.0242106	0.00078459	869.709	505.615	847.9	-0.943095
1.81483e-05	1.06162e-05	859.608	154.844	21.726	0.081626
0.0473389	0.00194232	869.404	503.98	779.313	-0.311109
0.348211	0.0076266	111.11	164.643	808.926	-0.187933
4.56425e-05	2.33045e-05	831.891	783.407	143.748	0.527728
0.00319452	7.75196e-05	116.717	324.68	611.807	0.469968
0.0605205	0.00146003	772.674	397.952	906.928	-0.933753
0.00133167	4.38474e-05	275.813	804.704	990.822	0.386773
0.000191055	8.74875e-06	360.319	809.297	823.094	-1.06283
0.0224346	0.000772332	914.141	470.089	687.986	-0.803103
0.0408234	0.00117746	924.069	458.663	645.69	1.16429
