Omega	Omega_err	mH1	mH2
0.000390316	1.18508e-06	635.78	830.47
0.00113637	4.52952e-06	598.774	898.25
0.00427383	1.1001e-05	825.546	833.735
0.000219249	1.90527e-06	602.681	663.245
0.000145127	4.31693e-07	556.515	681.406
0.000905522	7.04204e-06	862.371	912.666
0.000491041	1.80252e-06	390.161	684.389
0.000462963	7.21774e-07	832.887	839.585
0.00193827	3.81806e-06	727.872	767.119
0.000315572	2.38182e-06	875.06	896.363
0.00128157	3.59135e-06	891.303	892.652
0.000740805	3.00877e-06	162.077	742.552
0.000185345	6.08785e-07	568.728	857.694
0.0012906	3.72866e-06	601.755	705.737
0.000399309	1.46893e-06	541.871	789.008
0.00105835	4.12695e-06	523.238	723.304
0.000276012	9.77403e-07	236.199	581.526
0.00297898	1.25745e-05	508.549	718.477
0.000570557	2.09915e-06	530.928	718.628
0.000519178	1.83363e-06	519.671	657.537
1.12481e-05	2.79143e-08	133.58	415.16
0.00300137	9.46989e-06	214.38	243.119
0.00030059	1.02704e-06	631.088	954.535
0.0016802	5.33234e-06	808.163	813.988
0.000507804	1.97795e-06	252.472	616.021
0.000682091	6.14608e-06	821.278	888.487
5.80327e-07	9.77077e-10	156.525	824.984
0.00425169	7.89685e-06	284.87	332.601
0.000225004	7.01611e-07	263.074	381.007
0.0012642	5.05192e-06	472.72	991.071
0.000501864	1.8306e-06	580.77	976.98
0.0014231	3.48652e-06	299.513	303.343
0.00100544	9.42857e-06	881.275	929.689
0.00163756	2.3506e-06	721.922	768.72
0.00533526	4.7655e-05	485.005	485.094
7.39908e-06	1.57424e-08	184.961	864.195
0.000172233	5.45153e-07	609.658	833.246
0.0579582	0.000642412	496.365	589.093
0.00880213	4.99571e-05	813.772	827.669
0.000395082	1.43263e-06	461.07	664.248
0.000116123	3.45139e-07	596.084	740.732
0.000198411	8.286e-07	671.323	708.342
0.000970872	2.11611e-06	796.348	876.652
0.00212246	3.13251e-06	828.567	858.421
0.000331205	5.93253e-07	614.244	668.07
0.00127752	1.02452e-05	815.151	906.255
0.00258309	9.14308e-06	716.62	799.319
0.00576465	5.92398e-05	761.473	762.586
6.01235e-05	1.6229e-07	507.44	602.076
0.001755	4.22936e-06	888.038	977.483
0.000163211	2.95162e-07	612.867	688.106
0.000629548	2.28364e-06	346.285	914.594
0.00171317	6.3031e-06	335.752	432.026
0.00282728	2.2211e-05	795.566	892.669
0.000144652	4.70873e-07	478.041	640.155
0.000106942	1.13116e-07	681.253	754.141
0.000719363	8.22642e-07	831.613	919.693
0.0045481	1.85158e-05	493.569	660.828
0.0130231	1.97281e-05	835.868	979.531
0.000210503	1.52731e-07	642.158	691.217
7.61184e-05	2.32987e-07	175.842	513.703
6.99047e-05	2.02596e-07	622.636	843.469
0.000274787	1.19814e-06	787.055	867.21
0.00314251	1.05974e-05	836.616	846.402
0.00261737	6.83731e-06	691.476	780.414
0.000162312	5.30701e-07	215.656	421.573
0.00122737	1.41841e-06	649.013	669.095
0.00146336	4.58424e-06	570.273	703.303
0.000212926	2.96182e-07	576.18	651.207
0.000245859	1.90306e-06	449.735	477.396
0.000134187	4.17992e-07	473.302	573.733
0.00505824	2.87376e-05	788.746	811.483
0.00158021	6.10196e-06	559.81	752.705
0.00192471	7.80193e-06	186.506	231.625
0.00118787	4.33316e-06	688.299	943.819
0.000541896	2.90318e-06	780.176	808.117
0.000573491	1.68883e-06	638.969	778.068
0.000325538	1.08904e-06	525.44	671.716
0.000971256	3.88508e-06	403.04	749.728
0.000142087	4.39184e-07	290.095	604.806
1.99011e-05	4.94338e-08	168.864	893.568
0.0130575	0.000111313	472.506	483.536
0.000318147	4.43931e-07	693.104	694.971
0.000820953	1.51774e-06	514.246	621.975
0.00177008	4.26852e-06	490.179	492.713
8.91049e-05	2.69387e-07	444.455	652.453
0.00770978	4.35184e-06	839.02	923.43
0.000185966	5.87825e-07	404.602	497.786
0.000775979	2.94874e-06	534.968	699.99
0.000308173	8.72222e-07	745.756	927.13
0.00205528	1.26403e-05	567.408	635.936
0.0019702	7.89753e-06	296.727	938.081
0.000407166	1.1375e-06	649.283	770.31
0.00183283	7.3128e-06	372.424	449.751
0.00017404	3.19355e-07	465.428	532.072
0.000190485	6.1585e-07	626.128	877.056
0.00167567	5.52927e-06	222.466	330.612
0.00378765	8.5549e-06	608.017	724.606
0.000364322	4.57072e-07	316.243	350.244
3.28016e-05	7.72129e-08	214.705	547.823
0.000660255	1.51373e-06	653.384	826.491
0.00126726	3.62716e-06	450.956	503.463
0.000668956	2.48568e-06	503.562	706.239
0.000126138	4.00152e-07	236.899	373.014
0.000184304	6.11449e-07	572.886	922.655
0.000536196	4.48799e-06	567.887	666.066
0.00155746	3.38978e-06	558.099	566.305
0.000349956	1.22214e-06	420.671	521.351
0.000231503	2.24432e-06	567.741	623.244
0.000132267	4.19188e-07	454.556	795.537
0.0180488	6.07915e-05	699.003	699.621
0.0191448	0.00010191	362.324	727.231
0.000147776	1.30777e-06	811.645	865.018
0.00014522	2.21777e-07	448.873	474.121
0.00072488	2.75631e-06	229.125	584.528
0.000112542	3.02505e-07	390.129	452.382
0.000252732	3.24442e-07	853.898	987.253
0.000353915	1.33054e-06	264.531	532.584
0.000166718	2.33469e-07	706.595	816.418
0.000236457	6.90815e-07	433.764	519.584
0.00203651	2.72703e-06	749.1	775.431
0.000433902	3.73371e-07	772.539	928.475
0.00029454	9.9022e-07	548.539	699.098
0.000949691	2.26187e-06	690.102	752.628
6.59967e-05	1.89895e-07	476.095	720.858
0.000102751	2.49586e-07	620.878	715.459
9.14276e-05	1.63772e-07	587.191	708.343
0.000234392	4.14883e-07	615.141	629.295
0.000916773	2.09219e-06	478.195	481.54
0.000365145	1.28365e-06	254.852	408.491
0.000557122	8.30895e-07	421.486	586.335
0.000966075	9.14772e-06	650.861	730.188
