Omega	mH1	mH2	mHc
0.000999927	881.275	929.689	992.334
0.00162904	721.922	768.72	765.306
0.00529544	485.005	485.094	523.506
7.35163e-06	184.961	864.195	844.953
0.000171009	609.658	833.246	848.034
0.0575545	496.365	589.093	567.967
0.00872219	813.772	827.669	829.191
0.000392314	461.07	664.248	655.543
0.000115329	596.084	740.732	735.384
0.000197329	671.323	708.342	739.758
0.000965536	796.348	876.652	834.307
0.00211122	828.567	858.421	905.21
0.000328904	614.244	668.07	760.845
0.00126266	815.151	906.255	837.298
0.00256638	716.62	799.319	718.167
0.00571861	761.473	762.586	804.955
5.97127e-05	507.44	602.076	669.636
0.00174401	888.038	977.483	904.595
0.000162062	612.867	688.106	749.785
0.000624952	346.285	914.594	861.04
0.00170117	335.752	432.026	441.327
0.00281222	795.566	892.669	856.695
0.00014368	478.041	640.155	667.77
0.000106217	681.253	754.141	787.035
0.000714236	831.613	919.693	909.863
0.0045149	493.569	660.828	590.384
0.0129209	835.868	979.531	951.947
0.000209128	642.158	691.217	741.044
7.55562e-05	175.842	513.703	530.138
6.9428e-05	622.636	843.469	891.075
0.000272993	787.055	867.21	864.377
0.00312186	836.616	846.402	867.563
0.00259833	691.476	780.414	854.05
0.000161169	215.656	421.573	451.634
0.00122157	649.013	669.095	692.95
0.00145269	570.273	703.303	666.158
0.00021147	576.18	651.207	654.851
0.000244533	449.735	477.396	505.462
0.000133286	473.302	573.733	644.27
0.00501696	788.746	811.483	826.681
0.0015683	559.81	752.705	686.935
0.00190978	186.506	231.625	279.064
0.001179	688.299	943.819	869.69
0.000539501	780.176	808.117	847.606
0.000569238	638.969	778.068	759.858
0.000323204	525.44	671.716	651.251
0.000964133	403.04	749.728	643.678
0.000141067	290.095	604.806	544.74
1.97701e-05	168.864	893.568	814.019
0.0130699	472.506	483.536	473.506
0.000316215	693.104	694.971	730.573
0.000816856	514.246	621.975	535.685
0.00175908	490.179	492.713	539.805
8.8503e-05	444.455	652.453	642.42
0.00766182	839.02	923.43	910.358
0.000184679	404.602	497.786	546.115
0.000770515	534.968	699.99	756.569
0.000305964	745.756	927.13	892.968
0.00204172	567.408	635.936	615.08
0.00195559	296.727	938.081	913.671
0.000404274	649.283	770.31	770.353
0.00181963	372.424	449.751	493.227
0.000172801	465.428	532.072	537.468
0.000189124	626.128	877.056	868.011
0.00166316	222.466	330.612	266.394
0.00375945	608.017	724.606	682.77
0.000361729	316.243	350.244	366.324
3.25794e-05	214.705	547.823	481.19
0.000655414	653.384	826.491	746.929
0.00126028	450.956	503.463	473.526
0.000664209	503.562	706.239	633.915
0.000125272	236.899	373.014	407.615
0.000183037	572.886	922.655	874.146
0.00053346	567.887	666.066	611.642
0.00154812	558.099	566.305	614.248
0.000347435	420.671	521.351	636.628
0.000230114	567.741	623.244	633.34
0.000131352	454.556	795.537	743.503
0.0179497	699.003	699.621	715.757
0.0189966	362.324	727.231	640.925
0.000146922	811.645	865.018	937.529
0.00014434	448.873	474.121	543.635
0.000719579	229.125	584.528	552.932
0.000111787	390.129	452.382	499.703
0.000250911	853.898	987.253	976.478
0.000351399	264.531	532.584	652.752
0.000165918	706.595	816.418	738.636
0.000234745	433.764	519.584	560.609
0.00202693	749.1	775.431	799.068
0.000430887	772.539	928.475	849.12
0.000292399	548.539	699.098	712.349
0.000944421	690.102	752.628	696.483
6.55533e-05	476.095	720.858	607.391
0.000102031	620.878	715.459	751.295
9.07958e-05	587.191	708.343	666.352
0.000233087	615.141	629.295	709.673
0.000911016	478.195	481.54	535.887
0.000362544	254.852	408.491	443.066
0.000553425	421.486	586.335	460.868
0.000959754	650.861	730.188	722.044
0.000295918	622.954	827.521	878.419
0.000131678	341.565	756.572	768.961
0.00126828	648.078	687.127	742.385
0.000899806	686.68	941.355	963
0.0210368	594.65	939.229	868.762
0.0012499	785.431	930.286	892.398
0.000103928	686.686	889.806	956.379
0.00126727	712.693	843.387	732.788
1.40616e-06	179.194	525.016	558.369
0.000483158	666.686	837.013	905.908
0.000444917	693.587	722.406	756.519
0.000241708	822.5	937.849	923.824
0.000850718	652.944	987.597	945.743
0.00604717	883.315	889.638	909.73
0.0127789	639.455	718.821	732.866
0.000313644	747.716	779.559	860.432
0.000114847	426.105	564.423	558.6
0.000894695	755.787	921.585	932.262
0.00616194	603.945	605.508	637.235
0.00176966	725.631	729.665	766.662
0.00109205	361.884	415.492	398.815
0.000624275	149.285	692.26	664.544
0.00195902	696.177	719.695	747.138
0.000700911	446.351	457.286	516.94
0.000116419	319.347	512.528	554.495
0.000144659	464.663	494.434	534.528
0.000471188	292.348	803.731	834.152
0.00247596	438.96	569.441	599.645
0.000707569	581.088	646.666	618.339
0.00288552	761.487	775.228	781.098
0.00242861	801.139	951.161	885.597
0.000397818	584.383	861.587	839.759
0.000971834	491.68	562.548	578.786
0.000114211	585.204	692.177	642.182
5.38681e-05	380.11	563.651	551.649
0.00014654	669.809	973.217	986.842
0.00164029	826.269	880.525	938.605
0.0608533	611.193	618.937	612.858
0.000671953	419.716	438.608	508.865
0.00103235	245.098	248.574	359.943
0.000294454	354.615	502.73	544.936
0.00802567	805.937	877.369	930.505
0.00119693	312.481	384.789	379.402
0.000169238	469.777	641.531	657.648
0.000132882	609.987	898.108	952.401
9.29954e-05	463.426	634.589	546.504
0.00026895	780.325	889.113	829.995
0.00100183	401.312	474.209	440.844
0.0251627	963.612	972.859	985.023
0.0149385	778.241	982.794	965.666
1.13341e-05	232.976	734.281	637.419
0.000485497	625.273	828.18	868.601
