Omega	mMChi	mMPsi	lam12	lam13	lam123
0.120063	100	120	0.0229447	0.399591	0.905054
0.120049	100	120	0.0229447	0.359632	0.905412
0.120038	100	120	0.0229447	0.323669	0.905697
0.12003	100	120	0.0229447	0.291302	0.905926
0.120022	100	120	0.0229447	0.262172	0.906093
0.120015	100	120	0.0229447	0.235955	0.906218
0.120011	100	120	0.0229447	0.212359	0.906313
0.120008	100	120	0.0229447	0.191123	0.906384
0.120005	100	120	0.0229447	0.172011	0.906439
0.120004	100	120	0.0229447	0.15481	0.90648
0.119024	100	120	0.0206503	3.45596	0.551772
0.120871	100	120	0.0206503	3.11037	0.671986
0.120815	100	120	0.0206503	2.79933	0.772975
0.120743	100	120	0.0206503	2.5194	0.83646
0.120631	100	120	0.0206503	2.26746	0.878525
0.12066	100	120	0.0206503	2.04071	0.905849
0.120838	100	120	0.0206503	1.83664	0.923259
0.120656	100	120	0.0206503	1.65298	0.937822
0.120899	100	120	0.0206503	1.48768	0.944806
0.120869	100	120	0.0206503	1.33891	0.95171
0.120757	100	120	0.0206503	1.20502	0.957831
0.12058	100	120	0.0206503	1.08452	0.962594
0.120437	100	120	0.0206503	0.976066	0.96622
0.120326	100	120	0.0206503	0.878459	0.968956
0.120244	100	120	0.0206503	0.790613	0.971017
0.120183	100	120	0.0206503	0.711552	0.972576
0.120139	100	120	0.0206503	0.640397	0.973767
0.120105	100	120	0.0206503	0.576357	0.974674
0.12008	100	120	0.0206503	0.518721	0.975369
0.120063	100	120	0.0206503	0.466849	0.97592
0.120049	100	120	0.0206503	0.420164	0.976353
0.120036	100	120	0.0206503	0.378148	0.976682
0.12003	100	120	0.0206503	0.340333	0.976956
0.120025	100	120	0.0206503	0.3063	0.977187
0.120017	100	120	0.0206503	0.27567	0.97735
0.120011	100	120	0.0206503	0.248103	0.977468
0.120008	100	120	0.0206503	0.223293	0.977555
0.120005	100	120	0.0206503	0.200963	0.977621
0.120003	100	120	0.0206503	0.180867	0.977671
0.120002	100	120	0.0206503	0.16278	0.977709
0.119037	100	120	0.0185852	3.56991	0.585737
0.120925	100	120	0.0185852	3.21292	0.712709
0.120967	100	120	0.0185852	2.89163	0.817446
0.120594	100	120	0.0185852	2.60247	0.886672
0.120913	100	120	0.0185852	2.34222	0.927045
0.120589	100	120	0.0185852	2.108	0.958639
0.120728	100	120	0.0185852	1.8972	0.977309
0.120547	100	120	0.0185852	1.70748	0.99243
0.120806	100	120	0.0185852	1.53673	0.999759
0.120774	100	120	0.0185852	1.38306	1.00698
0.120658	100	120	0.0185852	1.24475	1.01324
0.1205	100	120	0.0185852	1.12028	1.01807
0.120368	100	120	0.0185852	1.00825	1.02167
0.120271	100	120	0.0185852	0.907424	1.02434
0.120201	100	120	0.0185852	0.816682	1.02635
0.12015	100	120	0.0185852	0.735014	1.02785
0.120113	100	120	0.0185852	0.661512	1.029
0.120085	100	120	0.0185852	0.595361	1.02987
0.120065	100	120	0.0185852	0.535825	1.03054
0.120049	100	120	0.0185852	0.482242	1.03106
0.120041	100	120	0.0185852	0.434018	1.03149
0.12003	100	120	0.0185852	0.390616	1.03181
0.120023	100	120	0.0185852	0.351555	1.03207
0.120019	100	120	0.0185852	0.316399	1.03228
0.120013	100	120	0.0185852	0.284759	1.03244
0.120009	100	120	0.0185852	0.256283	1.03255
0.120006	100	120	0.0185852	0.230655	1.03264
0.120004	100	120	0.0185852	0.20759	1.0327
0.120002	100	120	0.0185852	0.186831	1.03274
0.120001	100	120	0.0185852	0.168148	1.03278
0.119102	100	120	0.0167267	3.67283	0.602387
0.120928	100	120	0.0167267	3.30554	0.757097
0.120692	100	120	0.0167267	2.97499	0.852585
0.120865	100	120	0.0167267	2.67749	0.920396
0.120852	100	120	0.0167267	2.40974	0.965947
0.120499	100	120	0.0167267	2.16877	0.999209
0.120643	100	120	0.0167267	1.95189	1.01887
0.120472	100	120	0.0167267	1.7567	1.03458
0.120765	100	120	0.0167267	1.58103	1.04251
0.120699	100	120	0.0167267	1.42293	1.04995
0.12057	100	120	0.0167267	1.28064	1.05616
0.120455	100	120	0.0167267	1.15257	1.06121
0.120326	100	120	0.0167267	1.03731	1.06487
0.120237	100	120	0.0167267	0.933583	1.06756
0.120174	100	120	0.0167267	0.840225	1.06955
0.120129	100	120	0.0167267	0.756203	1.07104
0.120097	100	120	0.0167267	0.680582	1.07218
0.120073	100	120	0.0167267	0.612524	1.07305
0.120055	100	120	0.0167267	0.551272	1.07371
0.120042	100	120	0.0167267	0.496144	1.07422
0.120033	100	120	0.0167267	0.44653	1.07463
0.120026	100	120	0.0167267	0.401877	1.07496
0.12002	100	120	0.0167267	0.361689	1.07522
0.120016	100	120	0.0167267	0.32552	1.07544
0.12001	100	120	0.0167267	0.292968	1.07558
0.120007	100	120	0.0167267	0.263672	1.07569
0.120005	100	120	0.0167267	0.237304	1.07577
0.120003	100	120	0.0167267	0.213574	1.07583
0.120002	100	120	0.0167267	0.192217	1.07588
0.120001	100	120	0.0167267	0.172995	1.07591
0.119164	100	120	0.015054	3.75105	0.616483
0.120738	100	120	0.015054	3.37595	0.781648
0.120726	100	120	0.015054	3.03835	0.889441
0.120654	100	120	0.015054	2.73452	0.950915
0.120736	100	120	0.015054	2.46106	0.997334
