sqrts	xsec	
224.108	1.89732e-07	
224.206	1.89148e-07	
224.304	1.88567e-07	
224.402	1.8799e-07	
224.5	1.87416e-07	
224.598	1.86846e-07	
224.696	1.86279e-07	
224.794	1.85715e-07	
224.892	1.85154e-07	
224.99	1.84597e-07	
225.088	1.84043e-07	
225.186	1.83493e-07	
225.284	1.82945e-07	
225.382	1.82401e-07	
225.48	1.8186e-07	
225.578	1.81322e-07	
225.676	1.80787e-07	
225.774	1.80255e-07	
225.872	1.79726e-07	
225.97	1.792e-07	
226.068	1.78677e-07	
226.166	1.78157e-07	
226.264	1.77639e-07	
226.362	1.77125e-07	
226.46	1.76614e-07	
226.558	1.76105e-07	
226.656	1.75599e-07	
226.754	1.75096e-07	
226.852	1.74596e-07	
226.95	1.74098e-07	
227.048	1.73603e-07	
227.146	1.73111e-07	
227.244	1.72622e-07	
227.342	1.72135e-07	
227.44	1.7165e-07	
227.538	1.71169e-07	
227.636	1.7069e-07	
227.734	1.70213e-07	
227.832	1.69739e-07	
227.93	1.69268e-07	
228.028	1.68799e-07	
228.126	1.68332e-07	
228.224	1.67868e-07	
228.322	1.67406e-07	
228.42	1.66947e-07	
228.518	1.6649e-07	
228.616	1.66035e-07	
228.714	1.65583e-07	
228.812	1.65133e-07	
228.91	1.64686e-07	
229.008	1.6424e-07	
229.106	1.63797e-07	
229.204	1.63357e-07	
229.302	1.62918e-07	
229.4	1.62482e-07	
229.498	1.62048e-07	
229.596	1.61616e-07	
229.694	1.61186e-07	
229.792	1.60758e-07	
229.89	1.60333e-07	
229.988	1.59909e-07	
230.086	1.59488e-07	
230.184	1.59069e-07	
230.282	1.58651e-07	
230.38	1.58236e-07	
230.478	1.57823e-07	
230.576	1.57412e-07	
230.674	1.57003e-07	
230.772	1.56596e-07	
230.87	1.56191e-07	
230.968	1.55787e-07	
231.066	1.55386e-07	
231.164	1.54987e-07	
231.262	1.54589e-07	
231.36	1.54194e-07	
231.458	1.538e-07	
231.556	1.53408e-07	
231.654	1.53019e-07	
231.752	1.5263e-07	
231.85	1.52244e-07	
231.948	1.5186e-07	
232.046	1.51477e-07	
232.144	1.51096e-07	
232.242	1.50717e-07	
232.34	1.5034e-07	
232.438	1.49964e-07	
232.536	1.4959e-07	
232.634	1.49218e-07	
232.732	1.48848e-07	
232.83	1.48479e-07	
232.928	1.48112e-07	
233.026	1.47746e-07	
233.124	1.47383e-07	
233.222	1.47021e-07	
233.32	1.4666e-07	
233.418	1.46301e-07	
233.516	1.45944e-07	
233.614	1.45589e-07	
233.712	1.45235e-07	
233.81	1.44882e-07	
233.908	1.44531e-07	
234.006	1.44182e-07	
234.104	1.43834e-07	
234.202	1.43488e-07	
234.3	1.43143e-07	
234.398	1.428e-07	
234.496	1.42458e-07	
234.594	1.42118e-07	
234.692	1.4178e-07	
234.79	1.41442e-07	
234.888	1.41107e-07	
234.986	1.40772e-07	
235.084	1.40439e-07	
235.182	1.40108e-07	
235.28	1.39778e-07	
235.378	1.39449e-07	
235.476	1.39122e-07	
235.574	1.38797e-07	
235.672	1.38472e-07	
235.77	1.38149e-07	
235.868	1.37827e-07	
235.966	1.37507e-07	
236.064	1.37188e-07	
236.162	1.36871e-07	
236.26	1.36554e-07	
236.358	1.36239e-07	
236.456	1.35926e-07	
236.554	1.35614e-07	
236.652	1.35303e-07	
236.75	1.34993e-07	
236.848	1.34684e-07	
236.946	1.34377e-07	
237.044	1.34071e-07	
237.142	1.33767e-07	
237.24	1.33463e-07	
237.338	1.33161e-07	
237.436	1.3286e-07	
237.534	1.32561e-07	
237.632	1.32262e-07	
237.73	1.31965e-07	
